Environment,Framework,Parallelism,Time
singularity,mpi,1,81478
singularity,mpi,1,81478
singularity,mpi,1,81480
singularity,mpi,1,81488
singularity,mpi,1,81489
singularity,mpi,1,81493
singularity,mpi,1,81494
singularity,mpi,1,81499
singularity,mpi,1,82328
singularity,mpi,4,20544
singularity,mpi,4,20547
singularity,mpi,4,20553
singularity,mpi,4,20555
singularity,mpi,4,20589
singularity,mpi,4,20595
singularity,mpi,4,20637
singularity,mpi,4,20659
singularity,mpi,4,20760
singularity,mpi,4,21342
singularity,mpi,8,10635
singularity,mpi,8,10664
singularity,mpi,8,10648
singularity,mpi,8,10651
singularity,mpi,8,10698
singularity,mpi,8,10665
singularity,mpi,8,10713
singularity,mpi,8,10589
singularity,mpi,8,10758
singularity,mpi,8,10598
singularity,mpi,16,5565
singularity,mpi,16,5574
singularity,mpi,16,5577
singularity,mpi,16,5585
singularity,mpi,16,5587
singularity,mpi,16,5587
singularity,mpi,16,5590
singularity,mpi,16,5595
singularity,mpi,16,5623
singularity,mpi,16,5637
singularity,mpi-high-comm,1,81476
singularity,mpi-high-comm,1,81480
singularity,mpi-high-comm,1,81482
singularity,mpi-high-comm,1,81484
singularity,mpi-high-comm,1,81488
singularity,mpi-high-comm,1,81491
singularity,mpi-high-comm,1,81508
singularity,mpi-high-comm,1,81521
singularity,mpi-high-comm,1,82096
singularity,mpi-high-comm,1,82353
singularity,mpi-high-comm,4,20544
singularity,mpi-high-comm,4,20569
singularity,mpi-high-comm,4,20570
singularity,mpi-high-comm,4,20571
singularity,mpi-high-comm,4,20573
singularity,mpi-high-comm,4,20590
singularity,mpi-high-comm,4,20638
singularity,mpi-high-comm,4,20662
singularity,mpi-high-comm,4,20765
singularity,mpi-high-comm,4,20771
singularity,mpi-high-comm,8,11137
singularity,mpi-high-comm,8,10402
singularity,mpi-high-comm,8,10431
singularity,mpi-high-comm,8,10416
singularity,mpi-high-comm,8,10448
singularity,mpi-high-comm,8,10557
singularity,mpi-high-comm,8,10515
singularity,mpi-high-comm,8,10406
singularity,mpi-high-comm,8,10410
singularity,mpi-high-comm,8,10398
singularity,mpi-high-comm,16,5369
singularity,mpi-high-comm,16,5375
singularity,mpi-high-comm,16,5407
singularity,mpi-high-comm,16,5411
singularity,mpi-high-comm,16,5417
singularity,mpi-high-comm,16,5423
singularity,mpi-high-comm,16,5428
singularity,mpi-high-comm,16,5433
singularity,mpi-high-comm,16,5446
singularity,mpi-high-comm,16,6202
singularity,openmp,1,81646
singularity,openmp,1,81659
singularity,openmp,1,81663
singularity,openmp,1,81668
singularity,openmp,1,81669
singularity,openmp,1,81680
singularity,openmp,1,81681
singularity,openmp,1,81701
singularity,openmp,1,82128
singularity,openmp,1,82177
singularity,openmp,4,20565
singularity,openmp,4,20568
singularity,openmp,4,20569
singularity,openmp,4,20572
singularity,openmp,4,20575
singularity,openmp,4,20579
singularity,openmp,4,20582
singularity,openmp,4,20588
singularity,openmp,4,20589
singularity,openmp,4,20647
singularity,openmp,8,21093
singularity,openmp,8,20574
singularity,openmp,8,20609
singularity,openmp,8,20558
singularity,openmp,8,20592
singularity,openmp,8,20572
singularity,openmp,8,20581
singularity,openmp,8,20569
singularity,openmp,8,20558
singularity,openmp,8,20544
singularity,openmp,16,20586
singularity,openmp,16,20610
singularity,openmp,16,20622
singularity,openmp,16,20623
singularity,openmp,16,20626
singularity,openmp,16,20632
singularity,openmp,16,20633
singularity,openmp,16,20633
singularity,openmp,16,20654
singularity,openmp,16,20817
