Environment,Framework,Parallelism,Time
singularity,mpi,1,604669
singularity,mpi,1,605065
singularity,mpi,1,604443
singularity,mpi,1,604243
singularity,mpi,1,602926
singularity,mpi,1,603666
singularity,mpi,1,604701
singularity,mpi,1,604333
singularity,mpi,1,604264
singularity,mpi,4,159670
singularity,mpi,4,158772
singularity,mpi,4,158960
singularity,mpi,4,159187
singularity,mpi,4,159343
singularity,mpi,4,159126
singularity,mpi,4,158996
singularity,mpi,4,159308
singularity,mpi,4,159294
singularity,mpi,4,159009
singularity,mpi,8,94704
singularity,mpi,8,94807
singularity,mpi,8,94900
singularity,mpi,8,95135
singularity,mpi,8,94784
singularity,mpi,8,95005
singularity,mpi,8,94568
singularity,mpi,8,94965
singularity,mpi,8,94924
singularity,mpi,8,95046
singularity,mpi,16,50323
singularity,mpi,16,50306
singularity,mpi,16,50491
singularity,mpi,16,50081
singularity,mpi,16,49687
singularity,mpi,16,50238
singularity,mpi,16,50381
singularity,mpi,16,49632
singularity,mpi,16,51141
singularity,mpi,16,50393
singularity,mpi-high-comm,1,603500
singularity,mpi-high-comm,1,604136
singularity,mpi-high-comm,1,608241
singularity,mpi-high-comm,1,602907
singularity,mpi-high-comm,1,604379
singularity,mpi-high-comm,1,602737
singularity,mpi-high-comm,1,611049
singularity,mpi-high-comm,1,603459
singularity,mpi-high-comm,1,604023
singularity,mpi-high-comm,1,604936
singularity,mpi-high-comm,4,159788
singularity,mpi-high-comm,4,159464
singularity,mpi-high-comm,4,159482
singularity,mpi-high-comm,4,159327
singularity,mpi-high-comm,4,159139
singularity,mpi-high-comm,4,159467
singularity,mpi-high-comm,4,159349
singularity,mpi-high-comm,4,159019
singularity,mpi-high-comm,4,159315
singularity,mpi-high-comm,4,159253
singularity,mpi-high-comm,8,89182
singularity,mpi-high-comm,8,88250
singularity,mpi-high-comm,8,88410
singularity,mpi-high-comm,8,88234
singularity,mpi-high-comm,8,88371
singularity,mpi-high-comm,8,88297
singularity,mpi-high-comm,8,88235
singularity,mpi-high-comm,8,88356
singularity,mpi-high-comm,8,88344
singularity,mpi-high-comm,8,88473
singularity,mpi-high-comm,16,49086
singularity,mpi-high-comm,16,48108
singularity,mpi-high-comm,16,48204
singularity,mpi-high-comm,16,48112
singularity,mpi-high-comm,16,48253
singularity,mpi-high-comm,16,48023
singularity,mpi-high-comm,16,47974
singularity,mpi-high-comm,16,48168
singularity,mpi-high-comm,16,48152
singularity,mpi-high-comm,16,49055
singularity,openmp,1,640500
singularity,openmp,1,639918
singularity,openmp,1,639208
singularity,openmp,1,641058
singularity,openmp,1,641122
singularity,openmp,1,638600
singularity,openmp,1,642265
singularity,openmp,1,640484
singularity,openmp,1,640076
singularity,openmp,1,640359
singularity,openmp,4,168920
singularity,openmp,4,167913
singularity,openmp,4,168033
singularity,openmp,4,167809
singularity,openmp,4,168139
singularity,openmp,4,168450
singularity,openmp,4,167636
singularity,openmp,4,168431
singularity,openmp,4,168516
singularity,openmp,4,167724
singularity,openmp,8,168740
singularity,openmp,8,168984
singularity,openmp,8,167896
singularity,openmp,8,168052
singularity,openmp,8,167803
singularity,openmp,8,168043
singularity,openmp,8,168075
singularity,openmp,8,167939
singularity,openmp,8,168751
singularity,openmp,8,169439
singularity,openmp,16,168287
singularity,openmp,16,168976
singularity,openmp,16,167663
singularity,openmp,16,168121
singularity,openmp,16,168288
singularity,openmp,16,168140
singularity,openmp,16,168599
singularity,openmp,16,168517
singularity,openmp,16,169164
singularity,openmp,16,168351
