name,run.no.in.std.order,run.no,run.no.std.rp,environment,sizeexp,Blocks,time
146,35,146,35.3,singularity,11,.3,
147,6,147,6.3,native,1,.3,
148,23,148,23.3,singularity,7,.3,
149,44,149,44.3,singularity,14,.3,
150,51,150,51.3,native,16,.3,
151,49,151,49.3,docker,16,.3,
152,24,152,24.3,native,7,.3,
153,41,153,41.3,singularity,13,.3,
154,36,154,36.3,native,11,.3,
155,21,155,21.3,native,6,.3,
156,1,156,1.3,docker,0,.3,
157,63,157,63.3,native,20,.3,
158,11,158,11.3,singularity,3,.3,
159,54,159,54.3,native,17,.3,
160,27,160,27.3,native,8,.3,
161,19,161,19.3,docker,6,.3,
162,60,162,60.3,native,19,.3,
163,15,163,15.3,native,4,.3,
164,17,164,17.3,singularity,5,.3,
165,47,165,47.3,singularity,15,.3,
166,20,166,20.3,singularity,6,.3,
167,56,167,56.3,singularity,18,.3,
168,62,168,62.3,singularity,20,.3,
169,2,169,2.3,singularity,0,.3,
170,12,170,12.3,native,3,.3,
171,10,171,10.3,docker,3,.3,
172,34,172,34.3,docker,11,.3,
173,42,173,42.3,native,13,.3,
174,55,174,55.3,docker,18,.3,
175,33,175,33.3,native,10,.3,
176,9,176,9.3,native,2,.3,
177,43,177,43.3,docker,14,.3,
178,39,178,39.3,native,12,.3,
179,3,179,3.3,native,0,.3,
180,59,180,59.3,singularity,19,.3,
181,16,181,16.3,docker,5,.3,
182,40,182,40.3,docker,13,.3,
183,25,183,25.3,docker,8,.3,
184,18,184,18.3,native,5,.3,
185,53,185,53.3,singularity,17,.3,
186,48,186,48.3,native,15,.3,
187,58,187,58.3,docker,19,.3,
188,50,188,50.3,singularity,16,.3,
189,13,189,13.3,docker,4,.3,
190,42,190,42.4,native,13,.4,
191,44,191,44.4,singularity,14,.4,
192,17,192,17.4,singularity,5,.4,
193,13,193,13.4,docker,4,.4,
194,51,194,51.4,native,16,.4,
195,18,195,18.4,native,5,.4,
196,24,196,24.4,native,7,.4,
197,25,197,25.4,docker,8,.4,
198,26,198,26.4,singularity,8,.4,
199,21,199,21.4,native,6,.4,
200,23,200,23.4,singularity,7,.4,
201,63,201,63.4,native,20,.4,
202,27,202,27.4,native,8,.4,
203,19,203,19.4,docker,6,.4,
204,9,204,9.4,native,2,.4,
205,60,205,60.4,native,19,.4,
206,5,206,5.4,singularity,1,.4,
207,48,207,48.4,native,15,.4,
208,34,208,34.4,docker,11,.4,
209,8,209,8.4,singularity,2,.4,
210,54,210,54.4,native,17,.4,
211,1,211,1.4,docker,0,.4,
212,43,212,43.4,docker,14,.4,
213,56,213,56.4,singularity,18,.4,
214,40,214,40.4,docker,13,.4,
215,62,215,62.4,singularity,20,.4,
