1,native,4,165964
4,native,8,630310
5,singularity,4,165951
8,singularity,16,49555
1,native,4,166114
4,native,8,91776
5,singularity,4,166156
8,singularity,16,49733
9,native,1,631895
10,native,16,49448
11,singularity,1,630674
12,singularity,8,92220
14,singularity,1,630323
17,native,4,166065
18,native,16,49507
19,native,1,630677
20,singularity,4,166254
21,singularity,8,92262
23,singularity,16,49463
24,native,8,91652
25,singularity,8,91679
26,native,8,91756
27,singularity,1,629350
28,singularity,16,49483
29,native,1,630813
31,singularity,4,166169
32,native,4,166486
36,native,16,49343
37,native,4,166241
40,native,1,630401
41,singularity,8,92239
42,native,8,91752
43,native,16,49547
45,singularity,1,630981
46,singularity,16,49623
47,singularity,4,166439
49,singularity,1,630638
51,singularity,4,166463
52,native,4,166244
53,singularity,8,91986
