size,time,environment
16384,0.90217590,docker
16384,1.01184845,docker
16384,0.88191032,docker
16384,0.99277496,docker
16384,0.92530251,docker
16384,1.01613998,docker
16384,0.92220306,docker
16384,1.02663040,docker
16384,0.92864037,docker
16384,1.01590157,docker
16384,0.93245506,docker
16384,1.02281570,docker
16384,0.92959404,docker
16384,1.02376938,docker
16384,0.87952614,docker
16384,0.98323822,docker
16384,0.90527534,docker
16384,1.00302696,docker
32768,1.60717964,docker
32768,2.19655037,docker
32768,1.71351433,docker
32768,2.18772888,docker
32768,1.70660019,docker
32768,1.61933899,docker
32768,1.53112411,docker
32768,2.08663940,docker
32768,1.56402588,docker
32768,2.26521492,docker
32768,1.73020363,docker
32768,1.64055824,docker
32768,1.52826309,docker
32768,1.72519684,docker
32768,1.57952309,docker
32768,1.84893608,docker
32768,1.50680542,docker
32768,1.62792206,docker
32768,1.50394440,docker
32768,1.90663338,docker
65536,2.75564194,docker
65536,3.15856934,docker
65536,2.78282166,docker
65536,2.97355652,docker
65536,2.66551971,docker
65536,2.88009644,docker
65536,2.63309479,docker
65536,3.06487083,docker
65536,2.26187706,docker
65536,2.83575058,docker
65536,2.31647491,docker
65536,2.47383118,docker
65536,2.43163109,docker
65536,2.93064117,docker
65536,2.40850449,docker
65536,2.44045258,docker
65536,2.25758553,docker
65536,2.47740746,docker
65536,2.48837471,docker
65536,2.79498100,docker
131072,4.73999977,docker
131072,5.08451462,docker
131072,4.68802452,docker
131072,5.04612923,docker
131072,4.61387634,docker
131072,4.93407249,docker
131072,4.63747978,docker
131072,4.96029854,docker
131072,4.63247299,docker
131072,4.95958328,docker
131072,4.16254997,docker
131072,4.62627411,docker
131072,4.22096252,docker
131072,4.53042984,docker
131072,4.26769257,docker
131072,4.60362434,docker
131072,4.17900085,docker
131072,4.41670418,docker
131072,4.04095650,docker
131072,4.73928452,docker
262144,8.05377960,docker
262144,8.17584991,docker
262144,7.69400597,docker
262144,7.60984421,docker
262144,7.69376755,docker
262144,7.62796402,docker
262144,7.47132301,docker
262144,7.68852234,docker
262144,7.45272636,docker
262144,7.74002075,docker
262144,7.36975670,docker
262144,7.23719597,docker
262144,7.08246231,docker
262144,6.91866875,docker
262144,6.75582886,docker
262144,6.91986084,docker
262144,6.79278374,docker
262144,7.13872910,docker
262144,6.74510002,docker
262144,7.20310211,docker
524288,12.87531853,docker
524288,13.20314407,docker
524288,12.99405098,docker
524288,13.61894608,docker
524288,12.79950142,docker
524288,13.12184334,docker
524288,12.94088364,docker
524288,13.32616806,docker
524288,12.83526421,docker
524288,13.00501823,docker
524288,13.00311089,docker
524288,13.24558258,docker
524288,12.96877861,docker
524288,13.62252235,docker
524288,12.78305054,docker
524288,13.51928711,docker
524288,13.00835609,docker
524288,12.86244392,docker
524288,12.80117035,docker
524288,12.97998428,docker
1048576,28.44047546,docker
1048576,27.41336823,docker
1048576,29.60515022,docker
1048576,25.95114708,docker
1048576,25.87366104,docker
1048576,26.33285522,docker
1048576,26.41987801,docker
1048576,26.13091469,docker
1048576,25.62856674,docker
1048576,26.09348297,docker
1048576,25.69508553,docker
1048576,26.19314194,docker
1048576,26.09992027,docker
1048576,26.34906769,docker
1048576,25.84457397,docker
1048576,25.68125725,docker
1048576,25.54297447,docker
1048576,26.29852295,docker
1048576,25.91776848,docker
1048576,26.72839165,docker
1,0.33855438,native
1,0.30350685,native
1,0.30159950,native
1,0.30636787,native
1,0.27728081,native
1,0.35381317,native
1,0.31328201,native
1,0.27728081,native
1,0.31614304,native
1,0.38790703,native
1,0.27775764,native
1,0.38027763,native
1,0.27775764,native
1,0.30851364,native
1,0.27084351,native
1,0.37765503,native
1,0.26082993,native
1,0.29110909,native
1,0.29301643,native
1,0.29277802,native
2,0.25105476,native
2,0.37264824,native
2,0.25558472,native
2,0.29134750,native
2,0.29563904,native
2,0.29921532,native
2,0.31280518,native
2,0.29611588,native
2,0.28824806,native
2,0.34070015,native
2,0.26392937,native
2,0.28657913,native
2,0.22578239,native
2,0.34022331,native
2,0.22506714,native
2,0.33378601,native
2,0.22554398,native
2,0.33998489,native
2,0.22697449,native
2,0.32663345,native
4,0.28300285,native
4,0.33807755,native
4,0.27847290,native
4,0.30660629,native
4,0.26798248,native
4,0.37503242,native
4,0.26035309,native
4,0.28514862,native
4,0.28610229,native
4,0.35309792,native
4,0.25892258,native
4,0.40030479,native
4,0.31614304,native
4,0.38409233,native
4,0.27656555,native
4,0.37908554,native
4,0.27537346,native
4,0.30684471,native
4,0.22315979,native
4,0.33664703,native
8,0.28204918,native
8,0.33354759,native
8,0.27513504,native
8,0.30589104,native
8,0.27132034,native
8,0.37217140,native
8,0.25916100,native
8,0.28610229,native
8,0.21934509,native
8,0.33688545,native
8,0.22006035,native
8,0.32901764,native
8,0.22053719,native
8,0.33307076,native
8,0.22006035,native
8,0.32329559,native
8,0.29134750,native
8,0.30303001,native
8,0.24938583,native
8,0.37336349,native
16,0.20790100,native
16,0.32830238,native
16,0.29444695,native
16,0.29969215,native
16,0.29349327,native
16,0.34022331,native
16,0.28467178,native
16,0.33259392,native
16,0.26082993,native
16,0.28061867,native
16,0.22006035,native
16,0.34332275,native
16,0.22053719,native
16,0.33354759,native
16,0.25773048,native
16,0.34546852,native
16,0.24294853,native
16,0.35023689,native
16,0.31375885,native
16,0.27370453,native
32,0.25224686,native
32,0.26059151,native
32,0.26822090,native
32,0.35166740,native
32,0.27394295,native
32,0.28681755,native
32,0.28347969,native
32,0.38766861,native
32,0.26130676,native
32,0.36978722,native
32,0.22387505,native
32,0.33950806,native
32,0.22220612,native
32,0.33497810,native
32,0.22268295,native
32,0.33760071,native
32,0.22268295,native
32,0.33640862,native
32,0.22363663,native
32,0.32091141,native
64,0.30589104,native
64,0.34165382,native
64,0.28538704,native
64,0.33450127,native
64,0.26345253,native
64,0.28777122,native
64,0.22220612,native
64,0.33783913,native
64,0.22268295,native
64,0.31280518,native
64,0.27060509,native
64,0.35881996,native
64,0.27370453,native
64,0.37860870,native
64,0.31876564,native
64,0.38337708,native
64,0.27823448,native
64,0.37503242,native
64,0.26106834,native
64,0.26321411,native
128,0.25558472,native
128,0.39124489,native
128,0.26106834,native
128,0.34618378,native
128,0.24986267,native
128,0.39911270,native
128,0.27370453,native
128,0.37860870,native
128,0.31852722,native
128,0.38623810,native
128,0.24437904,native
128,0.37527084,native
128,0.26607513,native
128,0.26512146,native
128,0.27084351,native
128,0.35691261,native
128,0.26202202,native
128,0.35023689,native
128,0.31614304,native
128,0.28824806,native
256,0.30970573,native
256,0.34642220,native
256,0.31518936,native
256,0.28061867,native
256,0.32377243,native
256,0.38838387,native
256,0.27537346,native
256,0.37479401,native
256,0.26273727,native
256,0.26130676,native
256,0.27084351,native
256,0.40626526,native
256,0.31661987,native
256,0.33974648,native
256,0.28634071,native
256,0.36311150,native
256,0.28061867,native
256,0.38051605,native
256,0.27680397,native
256,0.36716461,native
512,0.26607513,native
