size,time
1,0.33855438
1,0.30350685
1,0.30159950
1,0.30636787
1,0.27728081
1,0.35381317
1,0.31328201
1,0.27728081
1,0.31614304
1,0.38790703
1,0.27775764
1,0.38027763
1,0.27775764
1,0.30851364
1,0.27084351
1,0.37765503
1,0.26082993
1,0.29110909
1,0.29301643
1,0.29277802
2,0.25105476
2,0.37264824
2,0.25558472
2,0.29134750
2,0.29563904
2,0.29921532
2,0.31280518
2,0.29611588
2,0.28824806
2,0.34070015
2,0.26392937
2,0.28657913
2,0.22578239
2,0.34022331
2,0.22506714
2,0.33378601
2,0.22554398
2,0.33998489
2,0.22697449
2,0.32663345
4,0.28300285
4,0.33807755
4,0.27847290
4,0.30660629
4,0.26798248
4,0.37503242
4,0.26035309
4,0.28514862
4,0.28610229
4,0.35309792
4,0.25892258
4,0.40030479
4,0.31614304
4,0.38409233
4,0.27656555
4,0.37908554
4,0.27537346
4,0.30684471
4,0.22315979
4,0.33664703
8,0.28204918
8,0.33354759
8,0.27513504
8,0.30589104
8,0.27132034
8,0.37217140
8,0.25916100
8,0.28610229
8,0.21934509
8,0.33688545
8,0.22006035
8,0.32901764
8,0.22053719
8,0.33307076
8,0.22006035
8,0.32329559
8,0.29134750
8,0.30303001
8,0.24938583
8,0.37336349
16,0.20790100
16,0.32830238
16,0.29444695
16,0.29969215
16,0.29349327
16,0.34022331
16,0.28467178
16,0.33259392
16,0.26082993
16,0.28061867
16,0.22006035
16,0.34332275
16,0.22053719
16,0.33354759
16,0.25773048
16,0.34546852
16,0.24294853
16,0.35023689
16,0.31375885
16,0.27370453
32,0.25224686
32,0.26059151
32,0.26822090
32,0.35166740
32,0.27394295
32,0.28681755
32,0.28347969
32,0.38766861
32,0.26130676
32,0.36978722
32,0.22387505
32,0.33950806
32,0.22220612
32,0.33497810
32,0.22268295
32,0.33760071
32,0.22268295
32,0.33640862
32,0.22363663
32,0.32091141
64,0.30589104
64,0.34165382
64,0.28538704
64,0.33450127
64,0.26345253
64,0.28777122
64,0.22220612
64,0.33783913
64,0.22268295
64,0.31280518
64,0.27060509
64,0.35881996
64,0.27370453
64,0.37860870
64,0.31876564
64,0.38337708
64,0.27823448
64,0.37503242
64,0.26106834
64,0.26321411
128,0.25558472
128,0.39124489
128,0.26106834
128,0.34618378
128,0.24986267
128,0.39911270
128,0.27370453
128,0.37860870
128,0.31852722
128,0.38623810
128,0.24437904
128,0.37527084
128,0.26607513
128,0.26512146
128,0.27084351
128,0.35691261
128,0.26202202
128,0.35023689
128,0.31614304
128,0.28824806
256,0.30970573
256,0.34642220
256,0.31518936
256,0.28061867
256,0.32377243
256,0.38838387
256,0.27537346
256,0.37479401
256,0.26273727
256,0.26130676
256,0.27084351
256,0.40626526
256,0.31661987
256,0.33974648
256,0.28634071
256,0.36311150
256,0.28061867
256,0.38051605
256,0.27680397
256,0.36716461
512,0.26607513
512,0.33140182
512,0.29754639
512,0.35095215
512,0.27227402
512,0.33283234
512,0.30946732
512,0.36096573
512,0.27561188
512,0.40936470
512,0.28181076
512,0.38027763
512,0.29253960
512,0.38671494
512,0.28276443
512,0.37670135
512,0.29253960
512,0.38838387
512,0.22649765
512,0.30493736
1024,0.32186508
1024,0.32401085
1024,0.35285950
1024,0.40912628
1024,0.34523010
1024,0.36072731
1024,0.29301643
1024,0.38528442
1024,0.31137466
1024,0.37240982
1024,0.26082993
1024,0.35262108
1024,0.27179718
1024,0.37312508
1024,0.27966499
1024,0.32043457
1024,0.27036667
1024,0.36358833
1024,0.28896332
1024,0.37670135
2048,0.35190582
2048,0.36549568
2048,0.42343140
2048,0.30636787
2048,0.35834312
2048,0.43749809
2048,0.36430359
2048,0.34570694
2048,0.36716461
2048,0.36048889
2048,0.42462349
2048,0.30303001
2048,0.35858154
2048,0.43249130
2048,0.36454201
2048,0.34880638
2048,0.36907196
2048,0.36239624
