size,time
8192,0.50044060
8192,0.58269501
8192,0.59127808
16384,0.81562996
16384,0.73766708
16384,0.69046021
16384,0.73242188
16384,0.87308884
16384,0.69236755
16384,0.48732758
16384,0.69165230
16384,0.63800812
16384,0.91004372
16384,0.70905685
16384,0.69737434
16384,0.69952011
16384,0.60534477
16384,0.70810318
16384,0.44870377
16384,0.63753128
16384,0.91671944
16384,0.72813034
16384,0.67973137
32768,0.97131729
32768,1.09028816
32768,0.99563599
32768,0.91934204
32768,0.99730492
32768,1.08695030
32768,0.98443031
32768,0.94699860
32768,0.96988678
32768,0.96035004
32768,0.78725815
32768,0.99325180
32768,1.06072426
32768,0.74434280
32768,0.80227852
32768,0.91838837
32768,0.77509880
32768,0.89597702
32768,0.77176094
32768,0.82373619
65536,1.08909607
65536,1.42145157
65536,1.30629539
65536,1.48749352
65536,1.13558769
65536,1.25575066
65536,1.32608414
65536,1.64628029
65536,1.29127502
65536,1.10363960
65536,1.40285492
65536,1.64294243
65536,1.22714043
65536,2.07781792
65536,1.48296356
65536,1.49941444
65536,1.02329254
65536,1.37901306
65536,1.42335892
65536,2.45046616
131072,2.41541862
131072,2.04777718
131072,1.91235542
131072,1.92141533
131072,2.03514099
131072,1.68800354
131072,1.65915489
131072,1.72281265
131072,1.62553787
131072,1.89065933
131072,80.30319214
131072,2.04420090
131072,2.00700760
131072,2.08139420
131072,1.84249878
131072,2.16388702
131072,1.67918205
131072,2.16937065
131072,1.65700912
131072,2.14552879
262144,2.94756889
262144,2.63762474
262144,3.18884850
262144,3.16476822
262144,2.99906731
262144,2.80427933
262144,2.69222260
262144,3.15523148
262144,2.99763680
262144,2.96831131
262144,2.53319740
262144,2.93087959
262144,2.69794464
262144,2.96139717
262144,3.07631493
262144,3.46493721
262144,2.92277336
262144,2.93612480
262144,2.78806686
262144,3.14545631
524288,4.86230850
524288,5.38611412
524288,5.22971153
524288,4.97269630
524288,5.01251221
524288,5.42998314
524288,5.08880615
524288,5.43189049
524288,5.09643555
524288,5.35869598
524288,5.07473946
524288,5.68461418
524288,5.10454178
524288,5.34510612
524288,5.04660606
524288,5.41973114
524288,5.13553619
524288,5.44166565
524288,4.98104095
524288,5.63287735
1048576,9.55700874
1048576,9.44900513
1048576,9.68217850
1048576,10.14900208
1048576,9.49144363
1048576,9.90128517
1048576,9.74917412
1048576,10.10155678
1048576,9.70673561
1048576,9.86003876
1048576,9.65929031
1048576,9.68408585
1048576,9.67383385
1048576,10.17403603
1048576,9.77587700
1048576,9.85789299
1048576,9.73033905
1048576,9.57751274
1048576,9.48238373
1048576,9.74655151
