name,environment,sizeexp,time
215,singularity,20,11.04283333
216,singularity,17,2.12931633
217,docker,17,10.46681404
218,docker,16,5.53798676
219,singularity,19,6.77752495
220,native,9,0.28824806
221,native,1,0.34689903
222,docker,10,0.85496902
223,docker,1,0.02193451
224,docker,18,19.50263977
225,native,12,0.43678284
226,singularity,3,0.32591820
227,docker,15,3.36265564
228,singularity,0,0.35738945
229,singularity,16,1.02758408
230,docker,3,0.85568428
231,native,18,3.22175026
232,native,3,0.27179718
233,docker,5,1.00874901
234,docker,2,0.89740753
235,native,4,9.19747353
236,singularity,11,0.44202805
237,native,14,0.57196617
238,singularity,12,0.45228004
239,docker,12,0.04172325
240,native,10,0.42366982
241,docker,20,0.74601173
242,docker,19,38.24830055
243,singularity,4,0.40149689
244,docker,7,1.03497505
245,native,0,0.30875206
246,docker,9,0.94914436
247,native,11,43.77341270
248,singularity,6,0.35405159
249,singularity,9,0.37312508
250,singularity,13,0.50067902
251,singularity,10,0.53000450
252,singularity,15,0.76127052
253,native,1,0.31018257
254,docker,3,1.02138519
255,singularity,15,0.71740150
256,docker,8,1.05977058
257,native,12,0.39577484
258,docker,7,0.95987320
259,singularity,14,0.79369545
260,singularity,2,0.48041344
261,singularity,19,6.63447380
262,native,17,2.12907791
263,native,5,0.31137466
264,singularity,10,0.39768219
265,singularity,0,0.50520897
266,native,7,0.30446053
267,docker,6,0.02741814
268,native,9,0.40745735
269,singularity,7,0.47969818
270,docker,12,1.41048431
271,native,20,11.53516769
272,native,10,0.32854080
273,docker,0,0.02241135
274,docker,1,0.98109245
275,singularity,18,3.76939774
276,native,2,0.25939941
277,singularity,8,0.34427643
278,native,8,0.30422211
279,singularity,16,3.26752663
280,singularity,1,0.35452843
281,docker,10,0.93531609
282,docker,4,1.01137161
283,docker,11,1.26981735
284,singularity,17,6.11543655
285,native,16,1.01923943
286,singularity,3,0.30732155
287,native,18,3.78966331
288,docker,20,78.87625694
289,docker,19,0.40674210
290,docker,14,2.55656242
291,native,6,0.38695335
292,native,11,0.36406517
293,singularity,6,0.45728683
294,singularity,12,0.68521500
295,singularity,11,0.40960312
296,docker,5,1.09767914
297,docker,2,1.02615356
298,native,13,0.62584877
299,native,15,0.71883202
300,singularity,20,12.02464104
301,singularity,4,0.34356117
302,docker,18,0.23555756
303,docker,9,1.15990639
304,native,3,0.42986870
305,singularity,9,0.48613548
306,singularity,5,0.46753883
307,singularity,13,0.51140785
308,docker,16,6.38556480
309,native,19,21.81935310
310,docker,15,0.07987022
311,native,14,0.58412552
312,native,4,0.31828880
313,native,0,0.31399727
314,docker,13,1.81841850
315,docker,17,12.28070259
316,native,3,0.33116341
317,docker,5,1.05500221
318,native,7,0.33426285
319,native,0,0.27561188
320,docker,20,84.29980278
321,singularity,16,1.08766556
322,singularity,18,10.98251343
323,docker,8,1.15919113
324,docker,16,6.59728050
325,docker,18,0.24151802
326,docker,9,0.02956390
327,docker,1,1.11865997
328,native,20,35.00390053
329,native,10,0.34546852
330,singularity,15,0.79703331
331,native,15,0.73957443
332,docker,10,1.22642517
333,docker,12,1.54447556
334,docker,4,1.16562843
335,singularity,8,0.40292740
336,docker,17,12.20822334
337,singularity,10,0.49805641
338,docker,2,0.96869469
339,docker,15,4.10699844
340,native,16,1.04784966
341,singularity,7,0.36454201
342,singularity,4,0.62990189
343,native,1,0.33903122
344,singularity,9,0.35858154
345,native,2,0.28705597
346,singularity,13,0.49543381
347,singularity,2,0.61011314
348,singularity,12,0.46491623
349,native,18,3.20100784
350,native,11,0.37193298
351,docker,14,0.05507469
352,docker,7,1.16920471
353,docker,3,1.13701820
354,singularity,1,0.47779083
355,native,13,0.48565865
356,docker,6,1.02806091
357,native,12,0.40721893
358,native,9,0.34403801
359,docker,11,1.42860413
360,singularity,0,0.36430359
361,singularity,11,0.56838989
362,singularity,5,0.36287308
363,docker,0,1.14130974
364,native,5,0.33044815
365,singularity,19,8.04495811
366,docker,19,44.62623596
367,native,19,7.88450241
368,native,4,0.30064583
369,native,8,0.32377243
370,singularity,17,5.74207306
371,native,6,0.30994415
372,singularity,3,0.40006638
373,native,14,0.61988831
374,singularity,6,0.40340424
375,native,17,1.91020966
376,singularity,14,0.62346458
377,docker,13,1.94787979
378,singularity,20,12.17103004
379,singularity,16,1.28459930
380,native,14,0.61798096
381,singularity,5,0.64539909
382,docker,16,7.17210770
