1 0.51305 0.46208 0.56403
2 0.50700 0.44459 0.56940
4 0.51954 0.45320 0.58588
8 0.51138 0.45076 0.57201
16 0.51422 0.45594 0.57250
32 0.50447 0.44374 0.56520
64 0.50900 0.44723 0.57077
128 0.51920 0.46918 0.56922
256 0.52621 0.45999 0.59244
512 0.53246 0.47384 0.59108
1024 0.57695 0.50347 0.65043
2048 0.61510 0.54940 0.68079
4096 0.66342 0.60984 0.71700
8192 0.81377 0.76334 0.86420
16384 0.96242 0.91182 1.01303
32768 1.65980 1.52610 1.79350
65536 2.50199 2.30634 2.69764
131072 4.37875 4.15419 4.60330
262144 7.01635 6.80702 7.22568
524288 13.07943 12.80350 13.35536
1048576 26.03507 25.68710 26.38305
