1 0.30875 0.25426 0.36325
2 0.30432 0.26923 0.33941
4 0.30968 0.25965 0.35971
8 0.29333 0.24959 0.33706
16 0.31612 0.27166 0.36058
32 0.29140 0.24555 0.33724
64 0.29011 0.26064 0.31957
128 0.31130 0.25335 0.36926
256 0.32117 0.29171 0.35064
512 0.32325 0.27912 0.36737
1024 0.33875 0.29411 0.38338
2048 0.37417 0.32908 0.41926
4096 0.46756 0.37857 0.55655
8192 0.45774 0.37829 0.53719
16384 0.72687 0.61198 0.84175
32768 0.85728 0.75679 0.95777
65536 1.30630 1.13829 1.47430
131072 2.02405 1.79430 2.25381
262144 2.95556 2.77245 3.13866
524288 5.28665 5.04679 5.52651
1048576 9.76474 9.53741 9.99207
