1 0.31757 0.28510 0.35005
2 0.27945 0.23013 0.32877
4 0.30339 0.26652 0.34025
8 0.28632 0.23366 0.33898
16 0.29228 0.25542 0.32914
32 0.27845 0.22282 0.33408
64 0.29142 0.24953 0.33331
128 0.29953 0.25528 0.34377
256 0.31383 0.27093 0.35673
512 0.32132 0.26720 0.37543
1024 0.34759 0.31362 0.38156
2048 0.36905 0.32471 0.41338
4096 0.43168 0.34699 0.51637
8192 0.51558 0.41466 0.61650
16384 0.63751 0.51416 0.76085
32768 0.85883 0.77781 0.93985
65536 1.20025 1.02736 1.37313
131072 1.95451 1.66014 2.24888
262144 3.04785 2.77140 3.32430
524288 5.24826 5.02874 5.46778
1048576 9.78532 9.60280 9.96784
