MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
     512 bytes,   0.30946732 ms
     512 bytes,   0.36096573 ms
     512 bytes,   0.27561188 ms
     512 bytes,   0.40936470 ms
     512 bytes,   0.28181076 ms
     512 bytes,   0.38027763 ms
     512 bytes,   0.29253960 ms
     512 bytes,   0.38671494 ms
     512 bytes,   0.28276443 ms
     512 bytes,   0.37670135 ms
     512 bytes,   0.29253960 ms
     512 bytes,   0.38838387 ms
     512 bytes,   0.22649765 ms
     512 bytes,   0.30493736 ms
    1024 bytes,   0.32186508 ms
    1024 bytes,   0.32401085 ms
    1024 bytes,   0.35285950 ms
    1024 bytes,   0.40912628 ms
    1024 bytes,   0.34523010 ms
    1024 bytes,   0.36072731 ms
    1024 bytes,   0.29301643 ms
    1024 bytes,   0.38528442 ms
    1024 bytes,   0.31137466 ms
    1024 bytes,   0.37240982 ms
    1024 bytes,   0.26082993 ms
    1024 bytes,   0.35262108 ms
    1024 bytes,   0.27179718 ms
    1024 bytes,   0.37312508 ms
    1024 bytes,   0.27966499 ms
    1024 bytes,   0.32043457 ms
    1024 bytes,   0.27036667 ms
    1024 bytes,   0.36358833 ms
    1024 bytes,   0.28896332 ms
    1024 bytes,   0.37670135 ms
    2048 bytes,   0.35190582 ms
    2048 bytes,   0.36549568 ms
    2048 bytes,   0.42343140 ms
    2048 bytes,   0.30636787 ms
    2048 bytes,   0.35834312 ms
    2048 bytes,   0.43749809 ms
    2048 bytes,   0.36430359 ms
    2048 bytes,   0.34570694 ms
    2048 bytes,   0.36716461 ms
    2048 bytes,   0.36048889 ms
    2048 bytes,   0.42462349 ms
    2048 bytes,   0.30303001 ms
    2048 bytes,   0.35858154 ms
    2048 bytes,   0.43249130 ms
    2048 bytes,   0.36454201 ms
    2048 bytes,   0.34880638 ms
    2048 bytes,   0.36907196 ms
    2048 bytes,   0.36239624 ms
    2048 bytes,   0.42486191 ms
    2048 bytes,   0.30207634 ms
    4096 bytes,   0.37264824 ms
    4096 bytes,   0.47564507 ms
    4096 bytes,   0.53238869 ms
    4096 bytes,   0.32401085 ms
    4096 bytes,   0.36382675 ms
    4096 bytes,   0.51450729 ms
    4096 bytes,   0.53238869 ms
    4096 bytes,   0.33283234 ms
    4096 bytes,   0.35309792 ms
    4096 bytes,   0.51546097 ms
    4096 bytes,   0.53048134 ms
    4096 bytes,   0.32567978 ms
    4096 bytes,   0.36144257 ms
    4096 bytes,   0.51164627 ms
    4096 bytes,   0.52952766 ms
    4096 bytes,   0.32877922 ms
    4096 bytes,   0.36168098 ms
    4096 bytes,   0.51093102 ms
    4096 bytes,   0.53238869 ms
    4096 bytes,   0.32329559 ms
    8192 bytes,   0.37622452 ms
    8192 bytes,   0.52952766 ms
    8192 bytes,   0.56219101 ms
    8192 bytes,   0.38981438 ms
    8192 bytes,   0.76031685 ms
    8192 bytes,   0.32854080 ms
    8192 bytes,   0.38433075 ms
    8192 bytes,   0.45776367 ms
    8192 bytes,   0.38647652 ms
    8192 bytes,   0.52881241 ms
    8192 bytes,   0.58603287 ms
    8192 bytes,   0.57411194 ms
    8192 bytes,   0.40459633 ms
    8192 bytes,   0.61058998 ms
    8192 bytes,   0.59151649 ms
    8192 bytes,   0.57339668 ms
    8192 bytes,   0.62990189 ms
    8192 bytes,   0.34809113 ms
    8192 bytes,   0.37908554 ms
    8192 bytes,   0.45847893 ms
   16384 bytes,   0.43630600 ms
   16384 bytes,   0.74481964 ms
   16384 bytes,   0.68593025 ms
   16384 bytes,   0.73122978 ms
   16384 bytes,   0.60391426 ms
   16384 bytes,   0.69737434 ms
   16384 bytes,   0.70881844 ms
   16384 bytes,   0.74076653 ms
   16384 bytes,   0.64992905 ms
   16384 bytes,   0.37598610 ms
   16384 bytes,   0.87094307 ms
   16384 bytes,   0.75531006 ms
   16384 bytes,   0.85091591 ms
   16384 bytes,   0.74410439 ms
   16384 bytes,   0.69212914 ms
   16384 bytes,   0.73218346 ms
   16384 bytes,   0.86665154 ms
   16384 bytes,   0.71048737 ms
   16384 bytes,   0.70619583 ms
   16384 bytes,   0.75054169 ms
   32768 bytes,   0.92673302 ms
   32768 bytes,   1.23715401 ms
   32768 bytes,   0.97298622 ms
   32768 bytes,   0.90026855 ms
   32768 bytes,   0.80823898 ms
   32768 bytes,   0.92816353 ms
   32768 bytes,   0.98896027 ms
   32768 bytes,   0.88596344 ms
   32768 bytes,   0.99754333 ms
   32768 bytes,   0.91981888 ms
   32768 bytes,   0.78630447 ms
   32768 bytes,   1.04951859 ms
   32768 bytes,   0.79941750 ms
   32768 bytes,   0.91242790 ms
   32768 bytes,   0.76436996 ms
   32768 bytes,   0.92267990 ms
   32768 bytes,   0.80657005 ms
   32768 bytes,   0.86498260 ms
   32768 bytes,   0.81634521 ms
   32768 bytes,   0.86569786 ms
   65536 bytes,   1.10673904 ms
   65536 bytes,   1.40070915 ms
   65536 bytes,   1.46150589 ms
   65536 bytes,   1.21331215 ms
   65536 bytes,   1.22404099 ms
   65536 bytes,   0.97298622 ms
   65536 bytes,   1.32656097 ms
   65536 bytes,   0.99015236 ms
   65536 bytes,   1.33323669 ms
   65536 bytes,   0.97322464 ms
   65536 bytes,   1.33156776 ms
   65536 bytes,   0.97298622 ms
   65536 bytes,   1.33061409 ms
   65536 bytes,   0.97203255 ms
   65536 bytes,   1.32346153 ms
   65536 bytes,   0.98991394 ms
   65536 bytes,   1.33156776 ms
   65536 bytes,   0.97227097 ms
   65536 bytes,   1.19543076 ms
   65536 bytes,   0.98752975 ms
  131072 bytes,   1.67632103 ms
