MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
     512 bytes,   0.29087067 ms
     512 bytes,   0.35500526 ms
     512 bytes,   0.28061867 ms
     512 bytes,   0.34952164 ms
     512 bytes,   0.29230118 ms
     512 bytes,   0.40674210 ms
     512 bytes,   0.31948090 ms
     512 bytes,   0.31161308 ms
     512 bytes,   0.29325485 ms
     512 bytes,   0.35953522 ms
     512 bytes,   0.28800964 ms
     512 bytes,   0.38671494 ms
     512 bytes,   0.26154518 ms
     512 bytes,   0.31328201 ms
    1024 bytes,   0.30279160 ms
    1024 bytes,   0.35786629 ms
    1024 bytes,   0.31185150 ms
    1024 bytes,   0.40817261 ms
    1024 bytes,   0.31185150 ms
    1024 bytes,   0.36549568 ms
    1024 bytes,   0.30517578 ms
    1024 bytes,   0.41151047 ms
    1024 bytes,   0.26917458 ms
    1024 bytes,   0.34356117 ms
    1024 bytes,   0.29063225 ms
    1024 bytes,   0.36001205 ms
    1024 bytes,   0.26130676 ms
    1024 bytes,   0.37693977 ms
    1024 bytes,   0.29563904 ms
    1024 bytes,   0.39219856 ms
    1024 bytes,   0.31280518 ms
    1024 bytes,   0.36549568 ms
    1024 bytes,   0.26106834 ms
    1024 bytes,   0.30636787 ms
    2048 bytes,   0.35762787 ms
    2048 bytes,   0.35905838 ms
    2048 bytes,   0.43010712 ms
    2048 bytes,   0.30565262 ms
    2048 bytes,   0.36382675 ms
    2048 bytes,   0.43916702 ms
    2048 bytes,   0.36430359 ms
    2048 bytes,   0.37217140 ms
    2048 bytes,   0.37050247 ms
    2048 bytes,   0.35619736 ms
    2048 bytes,   0.42939186 ms
    2048 bytes,   0.30565262 ms
    2048 bytes,   0.36501884 ms
    2048 bytes,   0.43916702 ms
    2048 bytes,   0.36144257 ms
    2048 bytes,   0.37479401 ms
    2048 bytes,   0.37264824 ms
    2048 bytes,   0.35810471 ms
    2048 bytes,   0.43010712 ms
    2048 bytes,   0.30541420 ms
    4096 bytes,   0.38051605 ms
    4096 bytes,   0.57554245 ms
    4096 bytes,   0.57411194 ms
    4096 bytes,   0.37980080 ms
    4096 bytes,   0.54979324 ms
    4096 bytes,   0.47612190 ms
    4096 bytes,   0.52738190 ms
    4096 bytes,   0.33712387 ms
    4096 bytes,   0.36120415 ms
    4096 bytes,   0.51403046 ms
    4096 bytes,   0.52833557 ms
    4096 bytes,   0.33688545 ms
    4096 bytes,   0.35810471 ms
    4096 bytes,   0.51331520 ms
    4096 bytes,   0.52785873 ms
    4096 bytes,   0.34284592 ms
    4096 bytes,   0.35881996 ms
    4096 bytes,   0.51188469 ms
    4096 bytes,   0.52738190 ms
    4096 bytes,   0.33903122 ms
    8192 bytes,   0.37264824 ms
    8192 bytes,   0.51355362 ms
    8192 bytes,   0.34856796 ms
    8192 bytes,   0.40054321 ms
    8192 bytes,   0.70738792 ms
    8192 bytes,   0.36668777 ms
