MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
     512 bytes,   0.45514107 ms
     512 bytes,   0.56242943 ms
     512 bytes,   0.50354004 ms
     512 bytes,   0.55932999 ms
     512 bytes,   0.47540665 ms
     512 bytes,   0.56362152 ms
     512 bytes,   0.50354004 ms
     512 bytes,   0.58412552 ms
     512 bytes,   0.48542023 ms
     512 bytes,   0.62608719 ms
     512 bytes,   0.43892860 ms
     512 bytes,   0.58388710 ms
     512 bytes,   0.48565865 ms
     512 bytes,   0.57792664 ms
    1024 bytes,   0.54502487 ms
    1024 bytes,   0.65064430 ms
    1024 bytes,   0.49448013 ms
    1024 bytes,   0.58436394 ms
    1024 bytes,   0.54168701 ms
    1024 bytes,   0.65016747 ms
    1024 bytes,   0.49614906 ms
    1024 bytes,   0.63419342 ms
    1024 bytes,   0.50759315 ms
    1024 bytes,   0.61249733 ms
    1024 bytes,   0.53381920 ms
    1024 bytes,   0.63228607 ms
    1024 bytes,   0.45704842 ms
    1024 bytes,   0.58746338 ms
    1024 bytes,   0.55122375 ms
    1024 bytes,   0.69117546 ms
    1024 bytes,   0.53167343 ms
    1024 bytes,   0.67377090 ms
    1024 bytes,   0.49018860 ms
    1024 bytes,   0.62084198 ms
    2048 bytes,   0.58341026 ms
    2048 bytes,   0.66256523 ms
    2048 bytes,   0.57697296 ms
    2048 bytes,   0.68569183 ms
    2048 bytes,   0.55813789 ms
    2048 bytes,   0.59866905 ms
    2048 bytes,   0.56862831 ms
    2048 bytes,   0.70333481 ms
    2048 bytes,   0.52881241 ms
    2048 bytes,   0.66566467 ms
    2048 bytes,   0.57363510 ms
    2048 bytes,   0.67806244 ms
    2048 bytes,   0.58269501 ms
    2048 bytes,   0.67877769 ms
    2048 bytes,   0.55193901 ms
    2048 bytes,   0.69737434 ms
    2048 bytes,   0.51736832 ms
    2048 bytes,   0.70476532 ms
    2048 bytes,   0.55170059 ms
    2048 bytes,   0.61464310 ms
    4096 bytes,   0.65541267 ms
    4096 bytes,   0.75221062 ms
    4096 bytes,   0.62799454 ms
    4096 bytes,   0.69904327 ms
    4096 bytes,   0.61511993 ms
    4096 bytes,   0.79441071 ms
    4096 bytes,   0.59866905 ms
    4096 bytes,   0.74648857 ms
    4096 bytes,   0.63109398 ms
    4096 bytes,   0.74553490 ms
    4096 bytes,   0.56886673 ms
    4096 bytes,   0.66161156 ms
    4096 bytes,   0.63133240 ms
    4096 bytes,   0.72813034 ms
    4096 bytes,   0.62537193 ms
    4096 bytes,   0.71954727 ms
    4096 bytes,   0.62775612 ms
    4096 bytes,   0.72145462 ms
    4096 bytes,   0.62489510 ms
    4096 bytes,   0.72526932 ms
    8192 bytes,   0.77533722 ms
    8192 bytes,   0.86379051 ms
    8192 bytes,   0.75984001 ms
    8192 bytes,   0.81133842 ms
    8192 bytes,   0.75078011 ms
    8192 bytes,   0.84137917 ms
    8192 bytes,   0.78797340 ms
    8192 bytes,   0.92768669 ms
    8192 bytes,   0.77009201 ms
    8192 bytes,   0.84877014 ms
    8192 bytes,   0.76389313 ms
    8192 bytes,   0.82468987 ms
    8192 bytes,   0.78988075 ms
    8192 bytes,   0.85306168 ms
    8192 bytes,   0.76055527 ms
    8192 bytes,   0.91934204 ms
    8192 bytes,   0.77104568 ms
    8192 bytes,   0.83661079 ms
    8192 bytes,   0.76270103 ms
    8192 bytes,   0.85592270 ms
   16384 bytes,   0.97179413 ms
   16384 bytes,   1.06763840 ms
   16384 bytes,   0.90217590 ms
   16384 bytes,   1.01184845 ms
   16384 bytes,   0.88191032 ms
   16384 bytes,   0.99277496 ms
   16384 bytes,   0.92530251 ms
   16384 bytes,   1.01613998 ms
   16384 bytes,   0.92220306 ms
   16384 bytes,   1.02663040 ms
   16384 bytes,   0.92864037 ms
   16384 bytes,   1.01590157 ms
   16384 bytes,   0.93245506 ms
   16384 bytes,   1.02281570 ms
   16384 bytes,   0.92959404 ms
   16384 bytes,   1.02376938 ms
   16384 bytes,   0.87952614 ms
   16384 bytes,   0.98323822 ms
   16384 bytes,   0.90527534 ms
   16384 bytes,   1.00302696 ms
   32768 bytes,   1.60717964 ms
   32768 bytes,   2.19655037 ms
   32768 bytes,   1.71351433 ms
   32768 bytes,   2.18772888 ms
   32768 bytes,   1.70660019 ms
   32768 bytes,   1.61933899 ms
   32768 bytes,   1.53112411 ms
   32768 bytes,   2.08663940 ms
   32768 bytes,   1.56402588 ms
   32768 bytes,   2.26521492 ms
   32768 bytes,   1.73020363 ms
   32768 bytes,   1.64055824 ms
   32768 bytes,   1.52826309 ms
   32768 bytes,   1.72519684 ms
   32768 bytes,   1.57952309 ms
   32768 bytes,   1.84893608 ms
   32768 bytes,   1.50680542 ms
   32768 bytes,   1.62792206 ms
   32768 bytes,   1.50394440 ms
   32768 bytes,   1.90663338 ms
   65536 bytes,   2.75564194 ms
   65536 bytes,   3.15856934 ms
   65536 bytes,   2.78282166 ms
   65536 bytes,   2.97355652 ms
   65536 bytes,   2.66551971 ms
   65536 bytes,   2.88009644 ms
