1,native,openmp,4,174882
2,docker,mpi-high-comm,4,185107
4,docker,mpi,16,118578
5,native,mpi,4,165994
6,docker,openmp,4,169363
8,singularity,mpi,4,159670
9,singularity,openmp,4,168920
10,native,openmp,16,176189
11,singularity,openmp,16,168287
13,docker,mpi-high-comm,16,127110
14,native,mpi-high-comm,4,165755
17,singularity,mpi-high-comm,16,49086
21,native,mpi-high-comm,16,51251
22,native,mpi,16,52425
23,docker,mpi,4,184784
24,singularity,mpi-high-comm,4,159788
25,singularity,mpi,16,50323
26,docker,openmp,16,169289
28,docker,mpi-high-comm,16,126135
31,docker,openmp,16,169475
32,singularity,openmp,16,168976
34,docker,mpi,16,128234
35,singularity,mpi-high-comm,16,48108
36,singularity,openmp,4,167913
37,native,openmp,16,175126
38,native,mpi,16,52321
41,singularity,mpi,4,158772
42,native,mpi,4,165776
43,native,openmp,4,174943
44,native,mpi-high-comm,4,165955
45,docker,mpi,4,184343
46,singularity,mpi-high-comm,4,159464
47,docker,openmp,4,168793
48,native,mpi-high-comm,16,51227
50,docker,mpi-high-comm,4,184450
51,singularity,mpi,16,50306
55,native,openmp,4,174991
56,docker,mpi-high-comm,16,128477
57,docker,openmp,4,169039
58,native,mpi,16,52333
60,singularity,openmp,4,168033
62,singularity,mpi,16,50491
64,singularity,mpi,4,158960
65,singularity,mpi-high-comm,16,48204
66,docker,mpi-high-comm,4,184701
67,native,mpi-high-comm,4,165806
69,singularity,openmp,16,167663
71,native,mpi,4,165685
72,native,mpi-high-comm,16,50948
74,docker,mpi,4,185543
75,docker,openmp,16,168888
76,docker,mpi,16,118443
80,native,openmp,16,174893
81,singularity,mpi-high-comm,4,159482
82,native,openmp,16,174736
83,docker,openmp,4,168636
85,docker,mpi-high-comm,16,134663
86,docker,mpi-high-comm,4,184901
87,native,mpi,4,165928
88,singularity,mpi-high-comm,4,159327
89,singularity,mpi-high-comm,16,48112
91,docker,mpi,4,184786
92,native,mpi-high-comm,16,51123
93,native,mpi-high-comm,4,165661
95,native,mpi,16,52466
97,singularity,openmp,16,168121
98,singularity,mpi,16,50081
100,singularity,mpi,4,159187
101,docker,mpi,16,123888
102,singularity,openmp,4,167809
103,docker,openmp,16,169055
106,native,openmp,4,174716
109,singularity,openmp,4,168139
110,native,openmp,4,175005
111,native,mpi-high-comm,4,165901
112,singularity,mpi,16,49687
114,docker,mpi-high-comm,4,184739
115,docker,mpi,4,184372
116,singularity,mpi-high-comm,4,159139
117,docker,mpi,16,119788
120,singularity,mpi-high-comm,16,48253
124,docker,mpi-high-comm,16,126703
125,native,mpi,4,166563
126,native,mpi,16,52082
127,singularity,openmp,16,168288
128,docker,openmp,4,168963
131,singularity,mpi,4,159343
133,native,openmp,16,175208
134,native,mpi-high-comm,16,50943
135,docker,openmp,16,169500
136,singularity,mpi-high-comm,16,48023
137,native,mpi-high-comm,4,166070
139,native,openmp,16,174976
140,docker,mpi,4,185452
141,singularity,mpi-high-comm,4,159467
143,native,mpi,16,52317
144,singularity,openmp,4,168450
145,docker,openmp,16,169357
146,singularity,mpi,4,159126
147,singularity,openmp,16,168140
149,native,openmp,4,174662
150,native,mpi,4,166264
151,docker,mpi,16,122703
153,docker,openmp,4,169156
154,singularity,mpi,16,50238
158,docker,mpi-high-comm,4,185061
159,native,mpi-high-comm,16,51185
160,docker,mpi-high-comm,16,133454
163,native,mpi,4,165728
164,singularity,mpi-high-comm,4,159349
166,singularity,openmp,16,168599
167,docker,mpi,16,117992
170,native,openmp,4,174754
171,docker,openmp,4,170071
173,singularity,mpi,16,50381
174,singularity,mpi,4,158996
175,singularity,openmp,4,167636
178,native,mpi,16,51891
180,native,mpi-high-comm,16,50977
181,docker,mpi-high-comm,4,185108
182,singularity,mpi-high-comm,16,47974
183,docker,mpi-high-comm,16,123471
184,native,mpi-high-comm,4,165573
185,native,openmp,16,174754
188,docker,openmp,16,170708
189,docker,mpi,4,184827
190,native,mpi-high-comm,4,165924
191,docker,openmp,16,170193
194,singularity,openmp,16,168517
195,docker,mpi-high-comm,16,140277
197,native,openmp,16,174868
198,singularity,mpi,16,49632
199,docker,mpi,16,125594
201,docker,mpi,4,184866
202,singularity,mpi-high-comm,4,159019
207,docker,mpi-high-comm,4,184904
208,native,mpi-high-comm,16,50663
209,singularity,openmp,4,168431
210,native,openmp,4,174564
212,docker,openmp,4,168969
213,native,mpi,16,51576
214,native,mpi,4,165930
215,singularity,mpi,4,159308
216,singularity,mpi-high-comm,16,48168
219,singularity,openmp,16,169164
220,docker,mpi,16,138145
222,native,mpi,16,52323
224,native,mpi-high-comm,4,165785
225,singularity,mpi-high-comm,4,159315
229,native,openmp,4,174820
231,native,mpi,4,166056
232,singularity,mpi-high-comm,16,48152
233,docker,openmp,16,169429
235,docker,mpi-high-comm,16,65741
236,docker,openmp,4,168874
237,singularity,mpi,16,51141
238,singularity,openmp,4,168516
239,singularity,mpi,4,159294
240,docker,mpi-high-comm,4,184651
241,native,openmp,16,175193
242,docker,mpi,4,184821
243,native,mpi-high-comm,16,51075
244,docker,openmp,16,169245
245,docker,openmp,4,169010
248,native,openmp,4,174436
249,singularity,openmp,16,168351
250,singularity,openmp,4,167724
252,native,mpi,4,166162
253,native,mpi,16,51808
255,docker,mpi,4,185812
256,docker,mpi-high-comm,16,133484
257,singularity,mpi-high-comm,16,49055
259,singularity,mpi,4,159009
260,native,mpi-high-comm,4,165564
261,docker,mpi,16,123101
263,singularity,mpi-high-comm,4,159253
264,docker,mpi-high-comm,4,185110
266,singularity,mpi,16,50393
267,native,openmp,16,175087
270,native,mpi-high-comm,16,52043
3,singularity,openmp,1,640500
7,native,openmp,1,669621
12,native,mpi-high-comm,1,627147
15,singularity,mpi-high-comm,1,603500
16,singularity,mpi,1,604334
18,docker,openmp,1,641594
19,docker,mpi,1,605020
20,docker,mpi-high-comm,1,604870
27,native,mpi,1,626924
29,native,mpi-high-comm,1,625710
30,native,mpi,1,626807
33,singularity,mpi-high-comm,1,604136
39,singularity,openmp,1,639918
40,singularity,mpi,1,604669
49,docker,openmp,1,641397
52,docker,mpi,1,605347
53,native,openmp,1,667068
54,docker,mpi-high-comm,1,606148
59,native,mpi,1,625904
61,native,mpi-high-comm,1,626484
63,singularity,mpi-high-comm,1,608241
68,singularity,mpi,1,605065
70,native,openmp,1,666136
73,docker,mpi,1,602680
77,docker,openmp,1,640503
78,docker,mpi-high-comm,1,605800
79,singularity,openmp,1,639208
84,native,mpi,1,627318
90,singularity,openmp,1,641058
94,docker,openmp,1,640171
96,singularity,mpi-high-comm,1,602907
99,docker,mpi,1,604122
104,native,mpi-high-comm,1,627379
105,native,openmp,1,666624
107,singularity,mpi,1,604443
108,docker,mpi-high-comm,1,604469
113,native,mpi-high-comm,1,625739
118,docker,mpi-high-comm,1,603670
119,docker,mpi,1,603980
121,singularity,mpi-high-comm,1,604379
122,native,openmp,1,667276
123,singularity,openmp,1,641122
129,singularity,mpi,1,604243
130,native,mpi,1,626462
132,docker,openmp,1,639455
138,native,openmp,1,666954
142,singularity,openmp,1,638600
148,native,mpi-high-comm,1,625488
152,docker,mpi-high-comm,1,603449
155,singularity,mpi,1,602926
156,docker,openmp,1,639871
157,singularity,mpi-high-comm,1,602737
161,native,mpi,1,624627
162,docker,mpi,1,604441
165,singularity,mpi,1,603666
168,docker,mpi-high-comm,1,605071
169,singularity,openmp,1,642265
172,docker,openmp,1,6
176,native,mpi-high-comm,1,626373
177,native,mpi,1,626960
179,native,openmp,1,667157
186,docker,mpi,1,603980
187,singularity,mpi-high-comm,1,611049
192,docker,mpi-high-comm,1,603956
